gender,region,education,age,responses_t1_1,responses_t1_2,responses_t2_1,responses_t2_2,responses_t3_1,responses_t3_2,responses_t4_1,responses_t4_2,responses_t5_1,responses_t5_2,responses_t6_1,responses_t6_2,responses_t7_1,responses_t7_2,responses_t8_1,responses_t8_2,responses_t9_1,responses_t9_2,responses_t10_1,responses_t10_2,responses_t11_1,responses_t11_2,responses_t12_1,responses_t12_2,responses_t13_1,responses_t13_2,responses_t14_1,responses_t14_2,responses_t15_1,responses_t15_2,responses_t16_1,responses_t16_2,responses_t17_1,responses_t17_2,responses_t18_1,responses_t18_2,responses_t19_1,responses_t19_2,responses_t20_1,responses_t20_2,prediction_age,age_imputed,prediction_education,education_imputed,prediction_gender,gender_imputed
female,Lima,graduate,51,1,2,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,1,1,1,1,1,2,1,1,NA,51,NA,graduate,NA,female
female,Lima,undergraduate,20,0,2,1,2,1,2,1,2,1,2,1,1,1,1,0.5,1,0,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,2,0,2,1,2,1,1,NA,20,NA,undergraduate,NA,female
male,Lima,undergraduate,26,1,2,0.5,1,1,2,0,2,1,1,0,1,0,1,1,1,1,1,1,2,0,1,0,1,1,2,1,1,1,1,1,1,0,1,1,1,0,1,0,2,NA,26,NA,undergraduate,NA,male
female,Callao,undergraduate,18,1,2,1,1,1,2,1,1,1,2,0.5,1,0,2,0.5,1,0,2,1,1,0,2,0.5,1,1,1,0,1,1,1,0.5,1,1,1,0.5,1,0,1,1,1,NA,18,NA,undergraduate,NA,female
female,Lima,undergraduate,55,1,2,0.5,1,1,2,1,1,1,1,0.5,1,1,1,1,1,0,2,1,2,0.5,1,0.5,1,1,2,0,2,1,1,0.5,1,0,1,1,1,0,1,1,1,NA,55,NA,undergraduate,NA,female
female,Lima Metropolitana,graduate,37,0.5,2,1,2,1,2,1,1,1,2,1,1,0,1,0.5,1,0,2,1,1,0.5,1,1,2,1,2,1,2,1,2,0,1,1,2,0,1,0,1,1,1,NA,37,NA,graduate,NA,female
female,Cajamarca,undergraduate,27,0.5,1,1,2,1,2,1,2,1,2,1,1,1,1,0.5,1,0,2,0.5,1,1,2,1,1,1,1,0,1,1,2,0,1,1,2,0.5,1,1,1,1,1,NA,27,NA,undergraduate,NA,female
female,Lima,undergraduate,31,1,2,1,1,1,2,0,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,0,1,0,1,1,1,1,2,0,1,1,2,1,1,NA,31,NA,undergraduate,NA,female
female,Lima,graduate,40,1,2,1,2,1,2,1,1,1,2,0.5,1,0,1,1,2,0,1,0,1,0,1,0.5,1,1,2,0,2,1,1,0.5,1,1,2,0,2,0,2,1,2,NA,40,NA,graduate,NA,female
male,Lima,undergraduate,NA,1,2,0,1,1,2,1,1,1,1,0.5,1,1,1,1,2,0.5,2,1,1,0.5,1,1,1,1,1,1,1,0,1,0.5,1,0,1,0,2,0,1,1,1,34.686787,34.686787,NA,undergraduate,NA,male
NA,NA,NA,NA,0.5,1,1,1,1,1,NA,NA,1,1,1,1,0.5,1,1,1,0.5,1,0.5,1,NA,NA,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,Lima,undergraduate,NA,1,1,1,2,1,1,0.5,1,1,1,1,1,0,1,0,1,0,2,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,0,1,0.5,1,1,1,26.733286,26.733286,NA,undergraduate,NA,female
female,Lima,graduate,34,1,2,0,2,1,2,1,2,0,1,1,1,0,1,1,1,0,2,1,1,1,2,1,2,1,2,1,1,0,1,0,2,1,2,0,2,0,1,1,1,NA,34,NA,graduate,NA,female
male,Lima,undergraduate,28,1,2,0,1,1,2,0.5,1,1,1,0.5,1,0,1,1,1,0,2,1,1,0.5,2,0.5,1,1,2,0.5,1,0.5,1,1,1,1,1,1,2,0,1,1,2,NA,28,NA,undergraduate,NA,male
NA,NA,NA,NA,0,1,1,1,1,1,0.5,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,NA,NA,1,1,0.5,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA
female,Lima,undergraduate,19,1,2,0.5,1,1,2,1,2,0.5,1,0.5,2,0,1,0.5,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,NA,19,NA,undergraduate,NA,female
NA,Lima Metropolitana,NA,28,1,1,0,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,0,1,1,1,0.5,1,1,1,1,1,0.5,1,0,1,0.5,1,0.5,1,0.5,1,1,1,0,1,NA,28,undergraduate,undergraduate,male,male
male,Junín,undergraduate,38,1,2,0.5,2,1,2,1,2,1,1,1,1,0,1,0,1,1,2,1,1,1,2,1,2,1,1,1,1,0.5,1,1,2,1,2,0.5,1,0.5,1,1,2,NA,38,NA,undergraduate,NA,male
female,NA,NA,NA,1,2,0,2,1,2,1,1,0.5,2,0,1,0,1,1,1,0.5,2,1,2,0.5,1,0,1,1,2,0,1,0,1,0.5,1,0,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,female
female,Lima,graduate,27,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,2,0.5,2,1,1,1,2,1,1,0.5,1,0,1,0.5,1,0,1,1,2,0,2,1,2,1,1,NA,27,NA,graduate,NA,female
female,Lima,secondary,20,1,2,1,2,1,2,1,1,0.5,2,0.5,1,1,2,1,2,1,2,1,1,1,2,0.5,1,1,2,0,2,1,2,0.5,1,0.5,2,0.5,1,0,1,0.5,1,NA,20,NA,secondary,NA,female
female,Lima Metropolitana,secondary,19,0.5,2,1,2,1,2,1,1,0.5,2,0.5,1,1,2,1,2,0,2,0,2,0,1,0.5,1,1,1,0,1,1,2,0.5,1,0.5,1,0.5,1,0,1,0.5,1,NA,19,NA,secondary,NA,female
female,Junín,undergraduate,29,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,1,0.5,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1,1,1,0,1,NA,29,NA,undergraduate,NA,female
male,Junín,undergraduate,38,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0.5,1,1,1,1,1,1,1,0,1,1,1,NA,38,NA,undergraduate,NA,male
female,Junín,undergraduate,29,0,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0,1,0.5,1,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,1,0.5,1,NA,29,NA,undergraduate,NA,female
female,Lima Metropolitana,secondary,18,0,2,1,2,1,1,1,2,1,2,0.5,1,1,2,1,2,0,2,0,1,1,1,0.5,1,1,1,0,2,1,2,0.5,1,0.5,1,0,1,0.5,2,1,1,NA,18,NA,secondary,NA,female
NA,Lima,undergraduate,29,1,2,1,2,1,2,0.5,1,1,1,0.5,1,1,2,1,2,1,1,0.5,1,1,1,1,1,1,1,0.5,2,0,2,0.5,1,1,2,1,1,0.5,1,0.5,1,NA,29,NA,undergraduate,male,male
NA,NA,NA,NA,NA,NA,0,1,1,2,0,2,1,1,0,1,0,1,1,1,0,2,1,2,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA
NA,Lima Metropolitana,undergraduate,40,0.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0.5,1,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0,1,0,1,1,1,NA,40,NA,undergraduate,male,male
female,Extranjero,undergraduate,23,1,2,0.5,1,1,1,1,1,1,1,1,1,0,1,1,1,0.5,2,0,1,0.5,1,0,1,1,2,1,2,1,1,1,1,1,2,1,2,0,1,0,1,NA,23,NA,undergraduate,NA,female
NA,Loreto,secondary,20,1,2,0.5,2,1,2,1,1,1,2,0.5,1,1,2,1,2,0,2,0.5,1,0.5,1,1,2,0.5,1,1,1,0.5,1,1,1,1,2,1,2,1,2,0.5,1,NA,20,NA,secondary,male,male
female,Lima Metropolitana,secondary,33,1,2,1,2,1,2,1,2,1,2,1,1,0.5,1,0.5,1,0,2,0,2,0.5,2,1,2,1,2,0,2,1,2,0,2,1,2,0.5,2,1,2,1,2,NA,33,NA,secondary,NA,female
male,Lima Metropolitana,graduate,70,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,NA,70,NA,graduate,NA,male
male,Lima,NA,65,1,2,1,1,1,2,0,1,1,1,0,2,1,2,1,2,0,2,1,2,1,2,1,1,1,2,1,2,0,1,1,1,0,1,0,2,0,1,1,1,NA,65,graduate,graduate,NA,male
NA,La Libertad,NA,NA,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2,0,2,1,2,1,1,1,1,1,1,1,2,0,2,1,2,0,2,1,1,0,1,NA,NA,NA,NA,NA,NA
male,Extranjero,graduate,50,0,2,1,2,1,2,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,2,1,2,1,2,0,1,1,1,0,1,1,2,0,1,1,1,1,1,NA,50,NA,graduate,NA,male
female,Lima,undergraduate,24,0,1,1,2,1,1,1,1,1,1,1,1,0,1,0,1,0,2,0,1,1,1,1,1,0.5,1,0,1,1,1,0,2,1,2,1,1,1,1,1,1,NA,24,NA,undergraduate,NA,female
male,Lambayeque,undergraduate,NA,1,2,0.5,2,1,2,1,2,1,1,1,2,0,1,1,1,0,2,0.5,1,0.5,1,1,1,1,1,0,2,1,1,0,1,1,2,0,1,1,2,1,1,33.085506,33.085506,NA,undergraduate,NA,male
male,Arequipa,undergraduate,63,1,1,0,1,1,1,1,1,1,1,0,1,0.5,1,1,1,0.5,1,1,1,0,1,0,1,1,1,1,1,0.5,1,1,1,0,1,1,1,0,1,0,1,NA,63,NA,undergraduate,NA,male
male,Lima,graduate,47,1,2,0.5,1,1,2,0,2,1,2,0,2,1,2,1,2,0,2,1,2,0,1,0.5,1,1,2,1,1,0,1,0.5,1,0,1,0,2,0,1,1,1,NA,47,NA,graduate,NA,male
NA,NA,NA,NA,1,2,1,1,1,2,1,2,1,1,1,1,0,1,0.5,1,0,2,0.5,1,0.5,1,1,1,1,1,0,1,0.5,1,0,1,1,1,0,1,1,2,1,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,2,0.5,2,1,1,1,1,1,1,1,1,0,1,0,1,0,2,0.5,1,0.5,1,1,1,1,1,0,2,0.5,1,0,1,1,2,0,2,1,2,1,1,NA,NA,NA,NA,NA,NA
female,Lima Metropolitana,graduate,34,1,2,0.5,1,1,2,1,1,1,1,1,1,1,2,1,2,0,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,0,2,1,1,0.5,1,1,1,NA,34,NA,graduate,NA,female
female,Lima,graduate,38,1,2,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0,1,0,2,0.5,1,0.5,1,0.5,1,1,2,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,2,NA,38,NA,graduate,NA,female
male,NA,NA,NA,1,1,1,1,1,1,0.5,2,1,1,0,1,0.5,1,1,1,0.5,1,1,1,0,1,0,1,1,2,1,2,1,1,1,1,0.5,1,1,2,0,1,0,1,NA,NA,NA,NA,NA,male
diverse,Lima,undergraduate,NA,0.5,2,1,1,1,2,1,1,1,2,1,2,0,2,0,1,0,2,0,1,1,2,1,1,0.5,1,0,2,1,1,0,1,1,2,0.5,2,1,1,0.5,1,27.858345,27.858345,NA,undergraduate,NA,diverse
male,Arequipa,undergraduate,NA,0,2,0,2,1,2,0,2,0.5,1,0,1,0,1,1,2,0,2,0.5,1,1,2,1,2,1,2,0,2,1,2,0.5,2,1,2,1,2,0,1,1,2,32.356632,32.356632,NA,undergraduate,NA,male
NA,NA,NA,NA,1,2,0,2,1,1,0,1,0,1,0,1,0.5,1,1,1,0.5,1,1,1,0.5,1,0.5,1,1,2,1,1,1,1,1,1,0.5,1,1,2,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,2,0,2,1,1,0,1,0,1,0,1,0.5,1,1,1,1.5,1,0,1,0.5,1,0.5,1,1,2,0,1,1,1,0,1,0.5,1,1,2,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0.5,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,NA,NA,NA,NA,NA,NA
NA,Lima,NA,21,1,1,0,2,1,1,0.5,1,0,2,0.5,1,0,2,1,2,0.5,2,0.5,1,1,1,1,1,0.5,1,0,1,1,2,1,1,0.5,1,1,1,0.5,1,0,1,NA,21,undergraduate,undergraduate,female,female
male,Lima Metropolitana,undergraduate,38,1,2,1,1,1,2,1,2,1,1,0.5,1,1,1,0.5,1,0.5,2,1,1,1,1,1,1,1,1,0,1,0.5,1,1,2,0,1,0.5,2,1,1,0,1,NA,38,NA,undergraduate,NA,male
female,Lima,graduate,35,0,1,1,2,1,1,1,1,1,2,0.5,1,0,1,0,1,0,1,0.5,1,0.5,1,0.5,1,1,2,0.5,1,1,2,0.5,1,1,2,0,1,0,1,0,1,NA,35,NA,graduate,NA,female
female,Lima,graduate,34,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0,1,0,1,0,1,1,1,NA,34,NA,graduate,NA,female
male,Lima,undergraduate,24,1,2,0.5,1,1,2,1,1,1,1,1,1,1,2,0.5,1,0,2,0.5,1,1,1,0.5,1,1,2,1,2,1,1,0,1,0,1,0.5,1,1,2,1,1,NA,24,NA,undergraduate,NA,male
male,Apurímac,undergraduate,NA,1,2,0.5,1,1,1,1,1,1,1,0.5,2,0,1,0,1,0,2,1,1,0,1,0.5,1,1,1,1,1,0,1,0,2,1,1,1,1,1,1,1,1,46.364304,46.364304,NA,undergraduate,NA,male
NA,NA,NA,NA,0,2,1,2,1,2,1,1,1,2,0,1,0,1,0,1,0,1,0,2,0.5,2,1,1,0.5,1,0,1,1,2,1,1,1,2,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA
male,Arequipa,graduate,22,1,1,0.5,1,1,1,0.5,1,0.5,1,0.5,1,1,1,1,1,0,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,0.5,1,0.5,1,1,1,NA,22,NA,graduate,NA,male
NA,NA,NA,NA,1,2,1,2,1,2,1,2,1,2,1,2,0,1,0,1,0,2,0.5,1,1,2,1,2,0,1,0,2,1,2,0,2,1,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA
male,Lima Metropolitana,NA,33,1,2,0.5,1,1,2,0.5,1,0.5,1,0,1,0.5,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,1,0.5,1,0,2,0.5,1,1,1,1,1,0.5,1,NA,33,undergraduate,undergraduate,NA,male
female,Lima Metropolitana,secondary,30,1,2,1,2,1,2,1,2,1,2,0.5,1,1,2,1,1,0,2,1,1,1,2,1,2,1,2,0,1,1,2,0.5,2,1,2,0.5,2,0.5,1,0.5,1,NA,30,NA,secondary,NA,female
male,Lima,graduate,NA,0,2,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,2,1,1,1,1,1,1,0,1,1,1,0,1,0.5,1,1,1,1,1,0,1,40.51616,40.51616,NA,graduate,NA,male
female,Lima,graduate,31,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,0,1,0.5,1,1,1,0.5,1,1,1,0.5,1,0.5,1,0,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,NA,31,NA,graduate,NA,female
male,Lima,undergraduate,23,0.5,2,0.5,1,1,2,0.5,2,1,1,0.5,1,0.5,1,0.5,1,0,2,1,2,1,1,1,1,1,2,0.5,2,1,1,1,1,0.5,1,0.5,1,0,1,1,1,NA,23,NA,undergraduate,NA,male
female,Extranjero,graduate,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0.5,1,0.5,1,NA,28,NA,graduate,NA,female
female,Lima Metropolitana,graduate,31,1,2,0.5,1,1,2,1,2,1,2,1,1,1,2,1,2,0,1,1,2,1,1,1,2,1,1,1,1,1,1,0.5,1,0,1,1,1,0.5,1,1,2,NA,31,NA,graduate,NA,female
NA,NA,NA,NA,1,2,1,1,1,2,1,1,1,1,0,2,1,2,1,2,0,2,1,1,0.5,1,1,2,1,2,0,2,0,1,1,1,0.5,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA
NA,NA,undergraduate,19,1,2,1,1,1,2,1,1,1,1,0.5,1,0.5,1,0.5,1,0,2,1,1,0.5,1,1,1,1,2,0,1,0.5,1,0,1,0.5,1,0,1,0,1,0.5,1,NA,19,NA,undergraduate,NA,NA
male,Lima,graduate,26,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,NA,26,NA,graduate,NA,male
NA,NA,NA,NA,1,2,1,2,1,2,1,1,1,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
male,Lima,graduate,53,0,2,1,1,1,2,0,2,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0.5,1,1,1,0,1,1,1,1,1,0.5,1,0.5,1,NA,53,NA,graduate,NA,male
female,NA,NA,NA,1,1,0,1,1,1,1,1,0.5,1,0,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,0,1,0,1,1,1,0.5,1,1,1,0,1,0.5,1,NA,NA,NA,NA,NA,female
NA,Lima Metropolitana,graduate,47,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,NA,47,NA,graduate,male,male
male,Lima,undergraduate,23,1,2,1,1,1,1,1,1,0.5,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,0.5,1,1,2,0,1,1,1,0.5,2,1,1,1,2,1,1,NA,23,NA,undergraduate,NA,male
male,Cusco,NA,52,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,NA,52,graduate,graduate,NA,male
NA,NA,NA,NA,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,NA,NA,NA,NA,NA,NA
male,Lima,undergraduate,28,1,2,0,1,1,2,1,1,1,1,0.5,2,0.5,1,1,1,0,2,1,1,0.5,1,1,1,1,1,0.5,2,1,1,0.5,1,0.5,1,1,1,0.5,1,0,1,NA,28,NA,undergraduate,NA,male
NA,NA,NA,NA,0,2,1,2,1,1,1,1,1,2,1,2,0,1,0.5,1,0,2,0,1,1,1,1,1,0.5,1,0,2,1,2,0,1,1,2,0.5,1,1,1,1,2,NA,NA,NA,NA,NA,NA
